New Time: 22.633273601531982
Old Time: 42.15370440483093
         33168290 function calls (32649986 primitive calls) in 73.798 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.046    0.046 __init__.py:109(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:109(SyntaxErr)
    16/11    0.000    0.000    1.842    0.167 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:11(<listcomp>)
        3    0.000    0.000    0.006    0.002 __init__.py:11(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
        2    0.000    0.000    0.000    0.000 __init__.py:11(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1106(ExtractionError)
        1    0.000    0.000    0.000    0.000 __init__.py:111(PEP440Warning)
        1    0.000    0.000    0.000    0.000 __init__.py:1116(is_interactive)
        1    0.000    0.000    0.000    0.000 __init__.py:112(InvalidModificationErr)
        1    0.000    0.000    0.000    0.000 __init__.py:1122(ResourceManager)
        1    0.000    0.000    0.000    0.000 __init__.py:1126(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:113(DistutilsLoader)
        1    0.000    0.000    0.000    0.000 __init__.py:1134(_StderrHandler)
       20    0.000    0.000    1.437    0.072 __init__.py:114(open)
        1    0.000    0.000    0.000    0.000 __init__.py:1140(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:115(EmptyDataError)
        1    0.000    0.000    0.000    0.000 __init__.py:115(NamespaceErr)
        2    0.000    0.000    0.000    0.000 __init__.py:115(create_module)
        1    0.000    0.000    0.000    0.000 __init__.py:1158(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:116(Affine)
        1    0.000    0.000    0.000    0.000 __init__.py:116(Unresolved)
